,semantic,contextual
0,/stanford-natural-language-inference-corpus,gauravsrivastav2507/usa-shape-file
1,atulanandjha/stanford-sentiment-treebank-v2-sst2,raones/life-science-irish-flowers-classification-data
2,dataturks/resume-entities-for-ner,whenamancodes/customer-personality-analysis
3,alaakhaled/conll003-englishversion,gabrielramos87/an-online-shop-business
4,debasisdotcom/name-entity-recognition-ner-dataset,thiagobodruk/brazil-geojson
5,daishinkan002/new-york-times-relation-extraction-dataset,daishinkan002/new-york-times-relation-extraction-dataset
6,rohitr4307/ner-dataset,lakshmi25npathi/online-retail-dataset
7,namanj27/ner-dataset,anandhuh/data-science-jobs-in-india
8,naseralqaydeh/named-entity-recognition-ner-corpus,gabrielsantello/advertisement-click-on-ad
9,abhinavwalia95/entity-annotated-corpus,khaiid/startups-by-valuation
