,semantic,contextual
0,iarunava/happy-house-dataset,wenewone/cub2002011
1,shakyadissanayake/oily-dry-and-normal-skin-types-dataset,emreksz/data-scientist-job-roles-in-uk
2,die9origephit/children-vs-adults-images,isakatsuyoshi/llm-20-questions-wikipedia-context
3,yousefmohamed20/sentiment-images-classifier,mihelic/cyclistic
4,tapakah68/facial-emotion-recognition,asaniczka/all-jobs-on-upwork-200k-plus
5,apollo2506/facial-recognition-dataset,hasyimabdillah/workoutexercises-images
6,shamstabrezkhan/happy-and-sad-images-dataset-for-cnn,shaz13/real-world-documents-collections
7,ashishmotwani/happyface,prathamgrover/fake-news-prediction
8,sanidhyak/human-face-emotions,dansbecker/hot-dog-not-hot-dog
9,hasnainkhan0123/binary-image-classification,hasnainkhan0123/binary-image-classification
